# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
6.237718450903e-06 3.403740749397e+09 3.321553916500e+04 3.755252007099e+18 2.162937557113e-07
6.281307141773e-06 3.368372288818e+09 3.310009018256e+04 3.690442472849e+18 2.184354850240e-07
6.325200427021e-06 3.333371344119e+09 3.298504247292e+04 3.626751446030e+18 2.205983442506e-07
6.369400435129e-06 3.298734096418e+09 3.287039464135e+04 3.564159623014e+18 2.227825409937e-07
6.413909309452e-06 3.264456766517e+09 3.275614529799e+04 3.502648033322e+18 2.249882848859e-07
6.458729208323e-06 3.230535614487e+09 3.264229305777e+04 3.442198033875e+18 2.272157876098e-07
6.503862305159e-06 3.196966939260e+09 3.252883654048e+04 3.382791303344e+18 2.294652629175e-07
6.549310788560e-06 3.163747078227e+09 3.241577437067e+04 3.324409836596e+18 2.317369266513e-07
6.595076862425e-06 3.130872406837e+09 3.230310517769e+04 3.267035939237e+18 2.340309967634e-07
6.641162746051e-06 3.098339338204e+09 3.219082759566e+04 3.210652222250e+18 2.363476933369e-07
6.687570674244e-06 3.066144322709e+09 3.207894026342e+04 3.155241596726e+18 2.386872386064e-07
6.734302897425e-06 3.034283847622e+09 3.196744182457e+04 3.100787268679e+18 2.410498569787e-07
6.781361681744e-06 3.002754436711e+09 3.185633092741e+04 3.047272733965e+18 2.434357750543e-07
6.828749309183e-06 2.971552649867e+09 3.174560622495e+04 2.994681773270e+18 2.458452216482e-07
6.876468077673e-06 2.940675082728e+09 3.163526637485e+04 2.942998447204e+18 2.482784278120e-07
6.924520301203e-06 2.910118366305e+09 3.152531003949e+04 2.892207091460e+18 2.507356268552e-07
6.972908309928e-06 2.879879166618e+09 3.141573588584e+04 2.842292312076e+18 2.532170543675e-07
7.021634450292e-06 2.849954184331e+09 3.130654258554e+04 2.793238980763e+18 2.557229482405e-07
7.070701085130e-06 2.820340154389e+09 3.119772881485e+04 2.745032230321e+18 2.582535486905e-07
7.120110593793e-06 2.791033845668e+09 3.108929325460e+04 2.697657450135e+18 2.608090982811e-07
7.169865372255e-06 2.762032060616e+09 3.098123459024e+04 2.651100281747e+18 2.633898419455e-07
7.219967833235e-06 2.733331634908e+09 3.087355151177e+04 2.605346614499e+18 2.659960270100e-07
7.270420406311e-06 2.704929437100e+09 3.076624271375e+04 2.560382581263e+18 2.686279032173e-07
7.321225538040e-06 2.676822368287e+09 3.065930689526e+04 2.516194554235e+18 2.712857227494e-07
7.372385692073e-06 2.649007361763e+09 3.055274275992e+04 2.472769140804e+18 2.739697402521e-07
7.423903349280e-06 2.621481382692e+09 3.044654901587e+04 2.430093179494e+18 2.766802128582e-07
7.475781007864e-06 2.594241427769e+09 3.034072437570e+04 2.388153735976e+18 2.794174002122e-07
7.528021183488e-06 2.567284524901e+09 3.023526755650e+04 2.346938099144e+18 2.821815644942e-07
7.580626409391e-06 2.540607732875e+09 3.013017727983e+04 2.306433777268e+18 2.849729704451e-07
